SubjectID,Task,Block,Group,Mean(RT)
1004,Retention,5,Sequence,174.4916667
1004,Retention,6,Sequence,181.925
1004,Retention,7,Sequence,339.6666667
1005,Acquisition,1,Sequence,450.7166667
1005,Acquisition,2,Sequence,394.45
1005,Acquisition,3,Sequence,370.5333333
1005,Acquisition,4,Sequence,373.6916667
1005,Acquisition,5,Sequence,331.8083333
1005,Acquisition,6,Sequence,304.8333333
1005,Acquisition,7,Sequence,325.6
1005,Acquisition,8,Sequence,359.1833333
1005,Acquisition,9,Sequence,301.8416667
1005,Acquisition,10,Sequence,281.3333333
1005,Acquisition,11,Sequence,252.8666667
1005,Acquisition,12,Sequence,256.2916667
1005,Acquisition,13,Sequence,265.6
1005,Acquisition,14,Sequence,324.8666667
1005,Retention,1,Sequence,343.4
1005,Retention,2,Sequence,289.8416667
1005,Retention,3,Sequence,280.5333333
1005,Retention,4,Sequence,246.7333333
1005,Retention,5,Sequence,204.575
1005,Retention,6,Sequence,213.3
1005,Retention,7,Sequence,329.8
1006,Acquisition,1,Sequence,382.4166667
1006,Acquisition,2,Sequence,365.0083333
1006,Acquisition,3,Sequence,360.425
1006,Acquisition,4,Sequence,323.5166667
1006,Acquisition,5,Sequence,323.525
1006,Acquisition,6,Sequence,324.6833333
1006,Acquisition,7,Sequence,345.0166667
1006,Acquisition,8,Sequence,365.9833333
1006,Acquisition,9,Sequence,317.7416667
1006,Acquisition,10,Sequence,309.9916667
1006,Acquisition,11,Sequence,332.7416667
1006,Acquisition,12,Sequence,312.4
1006,Acquisition,13,Sequence,320.35
1006,Acquisition,14,Sequence,365.5916667
1006,Retention,1,Sequence,345.6833333
1006,Retention,2,Sequence,298.6083333
1006,Retention,3,Sequence,289
1006,Retention,4,Sequence,278.4416667
1006,Retention,5,Sequence,329.9333333
1006,Retention,6,Sequence,340.9333333
1006,Retention,7,Sequence,372.4583333
1007,Acquisition,1,Sequence,314.5833333
1007,Acquisition,2,Sequence,291.8666667
1007,Acquisition,3,Sequence,276.7916667
1007,Acquisition,4,Sequence,271.3416667
1007,Acquisition,5,Sequence,233.6583333
1007,Acquisition,6,Sequence,248.65
1007,Acquisition,7,Sequence,186.8916667
1007,Acquisition,8,Sequence,283.6333333
1007,Acquisition,9,Sequence,147.4583333
1007,Acquisition,10,Sequence,109.25
1007,Acquisition,11,Sequence,94.05
1007,Acquisition,12,Sequence,102.0416667
1007,Acquisition,13,Sequence,89.3
1007,Acquisition,14,Sequence,285.525
1007,Retention,1,Sequence,286.225
1007,Retention,2,Sequence,116.0416667
1007,Retention,3,Sequence,77.375
1007,Retention,4,Sequence,90.575
1007,Retention,5,Sequence,94.53333333
1007,Retention,6,Sequence,80.75833333
1007,Retention,7,Sequence,280.1
1008,Acquisition,1,Sequence,335.825
1008,Acquisition,2,Sequence,330.0833333
1008,Acquisition,3,Sequence,298.8166667
1008,Acquisition,4,Sequence,250.7666667
1008,Acquisition,5,Sequence,229.0083333
1008,Acquisition,6,Sequence,164.3666667
1008,Acquisition,7,Sequence,117.5583333
1008,Acquisition,8,Sequence,355.8333333
1008,Acquisition,9,Sequence,105.4833333
1008,Acquisition,10,Sequence,95.16666667
1008,Acquisition,11,Sequence,93.49166667
1008,Acquisition,12,Sequence,94.64166667
1008,Acquisition,13,Sequence,148
1008,Acquisition,14,Sequence,373.625
1008,Retention,1,Sequence,348.075
1008,Retention,2,Sequence,116.4083333
1008,Retention,3,Sequence,90.675
1008,Retention,4,Sequence,96.06666667
1008,Retention,5,Sequence,113.4833333
1008,Retention,6,Sequence,89.15
1008,Retention,7,Sequence,354.3666667
1009,Acquisition,1,Sequence,352.6333333
1009,Acquisition,2,Sequence,348.8333333
1009,Acquisition,3,Sequence,318.6916667
1009,Acquisition,4,Sequence,292.0083333
1009,Acquisition,5,Sequence,282.7
1009,Acquisition,6,Sequence,295.4
1009,Acquisition,7,Sequence,283.1
1009,Acquisition,8,Sequence,364.4583333
1009,Acquisition,9,Sequence,291.8916667
1009,Acquisition,10,Sequence,296.9166667
1009,Acquisition,11,Sequence,265.0916667
1009,Acquisition,12,Sequence,307.9
1009,Acquisition,13,Sequence,266.3833333
1009,Acquisition,14,Sequence,398.9333333
1009,Retention,1,Sequence,343.3916667
1009,Retention,2,Sequence,261.85
1009,Retention,3,Sequence,241.3
1009,Retention,4,Sequence,266.125
1009,Retention,5,Sequence,253.425
1009,Retention,6,Sequence,277.5916667
1009,Retention,7,Sequence,377.6583333
1010,Acquisition,1,Sequence,351.3333333
1010,Acquisition,2,Sequence,399.5833333
1010,Acquisition,3,Sequence,343.85
1010,Acquisition,4,Sequence,274.575
1010,Acquisition,5,Sequence,267.2
1010,Acquisition,6,Sequence,226.1916667
1010,Acquisition,7,Sequence,236.5166667
1010,Acquisition,8,Sequence,356.1083333
1010,Acquisition,9,Sequence,226.425
1010,Acquisition,10,Sequence,157.4416667
1010,Acquisition,11,Sequence,177.325
1010,Acquisition,12,Sequence,137.275
1010,Acquisition,13,Sequence,136.1
1010,Acquisition,14,Sequence,359.6
1010,Retention,1,Sequence,392.7833333
1010,Retention,2,Sequence,128.3083333
1010,Retention,3,Sequence,114.4166667
1010,Retention,4,Sequence,155.2166667
1010,Retention,5,Sequence,120.4
1010,Retention,6,Sequence,111.1083333
1010,Retention,7,Sequence,353.2833333
1011,Acquisition,1,Sequence,354.65
1011,Acquisition,2,Sequence,357.85
1011,Acquisition,3,Sequence,335.125
1011,Acquisition,4,Sequence,306.7416667
1011,Acquisition,5,Sequence,334.7333333
1011,Acquisition,6,Sequence,295.6
1011,Acquisition,7,Sequence,300.625
1011,Acquisition,8,Sequence,345.825
1011,Acquisition,9,Sequence,285.6583333
1011,Acquisition,10,Sequence,269.0833333
1011,Acquisition,11,Sequence,262.4583333
1011,Acquisition,12,Sequence,261.225
1011,Acquisition,13,Sequence,294.9
1011,Acquisition,14,Sequence,311.6666667
1011,Retention,1,Sequence,331.225
1011,Retention,2,Sequence,265.925
1011,Retention,3,Sequence,262.3916667
1011,Retention,4,Sequence,221.8333333
1011,Retention,5,Sequence,230.8583333
1011,Retention,6,Sequence,196.2166667
1011,Retention,7,Sequence,331.425
1012,Acquisition,1,Sequence,405.3083333
1012,Acquisition,2,Sequence,403.8166667
1012,Acquisition,3,Sequence,352.9416667
1012,Acquisition,4,Sequence,332.4083333
1012,Acquisition,5,Sequence,329.6916667
1012,Acquisition,6,Sequence,314.125
1012,Acquisition,7,Sequence,316.175
1012,Acquisition,8,Sequence,352.1666667
1012,Acquisition,9,Sequence,310.9916667
1012,Acquisition,10,Sequence,326.875
1012,Acquisition,11,Sequence,331.975
1012,Acquisition,12,Sequence,301.9166667
1012,Acquisition,13,Sequence,317.7166667
1012,Acquisition,14,Sequence,327.1666667
1012,Retention,1,Sequence,360.5833333
1012,Retention,2,Sequence,314.3083333
1012,Retention,3,Sequence,302.375
1012,Retention,4,Sequence,306.8833333
1012,Retention,5,Sequence,282.1333333
1012,Retention,6,Sequence,281.6666667
1012,Retention,7,Sequence,349.475
1013,Acquisition,1,Sequence,371.475
1013,Acquisition,2,Sequence,364.5333333
1013,Acquisition,3,Sequence,337.2083333
1013,Acquisition,4,Sequence,297.1333333
1013,Acquisition,5,Sequence,302.6416667
1013,Acquisition,6,Sequence,311.0166667
1013,Acquisition,7,Sequence,331.5166667
1013,Acquisition,8,Sequence,351.1583333
1013,Acquisition,9,Sequence,372.5583333
1013,Acquisition,10,Sequence,355.625
1013,Acquisition,11,Sequence,373.7583333
1013,Acquisition,12,Sequence,361.7416667
1013,Acquisition,13,Sequence,391.4083333
1013,Acquisition,14,Sequence,404.9083333
1013,Retention,1,Sequence,361.225
1013,Retention,2,Sequence,287.8583333
1013,Retention,3,Sequence,273.5833333
1013,Retention,4,Sequence,262.4
1013,Retention,5,Sequence,275.85
1013,Retention,6,Sequence,261.7
1013,Retention,7,Sequence,335.5333333
1014,Acquisition,1,Sequence,371.25
1014,Acquisition,2,Sequence,374.1583333
1014,Acquisition,3,Sequence,365.2666667
1014,Acquisition,4,Sequence,317.975
1014,Acquisition,5,Sequence,357.45
1014,Acquisition,6,Sequence,350.7583333
1014,Acquisition,7,Sequence,328.85
1014,Acquisition,8,Sequence,375.1916667
1014,Acquisition,9,Sequence,299.0666667
1014,Acquisition,10,Sequence,293.8833333
1014,Acquisition,11,Sequence,348.7166667
1014,Acquisition,12,Sequence,387.3833333
1014,Acquisition,13,Sequence,323.7083333
1014,Acquisition,14,Sequence,337.9916667
1014,Retention,1,Sequence,316.7166667
1014,Retention,2,Sequence,281.2833333
1014,Retention,3,Sequence,282.3666667
1014,Retention,4,Sequence,287.5
1014,Retention,5,Sequence,323.725
1014,Retention,6,Sequence,281.5333333
1014,Retention,7,Sequence,314.9416667
1015,Acquisition,1,Sequence,297.8916667
1015,Acquisition,2,Sequence,316.9416667
1015,Acquisition,3,Sequence,286.525
1015,Acquisition,4,Sequence,254.3333333
1015,Acquisition,5,Sequence,261.125
1015,Acquisition,6,Sequence,239.475
1015,Acquisition,7,Sequence,255.6916667
1015,Acquisition,8,Sequence,301.7083333
1015,Acquisition,9,Sequence,250.3666667
1015,Acquisition,10,Sequence,307.2416667
1015,Acquisition,11,Sequence,246.825
1015,Acquisition,12,Sequence,238.9333333
1015,Acquisition,13,Sequence,243.7166667
1015,Acquisition,14,Sequence,294.9083333
1015,Retention,1,Sequence,277.175
1015,Retention,2,Sequence,217.125
1015,Retention,3,Sequence,216.1416667
1015,Retention,4,Sequence,224.525
1015,Retention,5,Sequence,210.9333333
1015,Retention,6,Sequence,259.2166667
1015,Retention,7,Sequence,302.9166667
1016,Acquisition,1,Sequence,449.375
1016,Acquisition,2,Sequence,417.6
1016,Acquisition,3,Sequence,414.4833333
1016,Acquisition,4,Sequence,403.3333333
1016,Acquisition,5,Sequence,378.0916667
1016,Acquisition,6,Sequence,388.3916667
1016,Acquisition,7,Sequence,369.7916667
1016,Acquisition,8,Sequence,428.3833333
1016,Acquisition,9,Sequence,384.8666667
1016,Acquisition,10,Sequence,350.7916667
1016,Acquisition,11,Sequence,332.4333333
1016,Acquisition,12,Sequence,318.825
1016,Acquisition,13,Sequence,304.55
1016,Acquisition,14,Sequence,384.1916667
1016,Retention,1,Sequence,387.2416667
1016,Retention,2,Sequence,322.0916667
1016,Retention,3,Sequence,310.9916667
1016,Retention,4,Sequence,317.2
1016,Retention,5,Sequence,295.35
1016,Retention,6,Sequence,295.5916667
1016,Retention,7,Sequence,387.375
1017,Acquisition,1,Sequence,293.9083333
1017,Acquisition,2,Sequence,295.9416667
1017,Acquisition,3,Sequence,277.5083333
1017,Acquisition,4,Sequence,263.8666667
1017,Acquisition,5,Sequence,269.5
1017,Acquisition,6,Sequence,260.55
1017,Acquisition,7,Sequence,253.2
1017,Acquisition,8,Sequence,279.5416667
1017,Acquisition,9,Sequence,243.7916667
1017,Acquisition,10,Sequence,232.1833333
1017,Acquisition,11,Sequence,231.25
1017,Acquisition,12,Sequence,214.5416667
1017,Acquisition,13,Sequence,172.6583333
1017,Acquisition,14,Sequence,281.5333333
1017,Retention,1,Sequence,278.925
1017,Retention,2,Sequence,196.825
1017,Retention,3,Sequence,135.2916667
1017,Retention,4,Sequence,139.05
1017,Retention,5,Sequence,105.8916667
1017,Retention,6,Sequence,116.8666667
1017,Retention,7,Sequence,284.9083333
1018,Acquisition,1,Sequence,353.25
1018,Acquisition,2,Sequence,353.7083333
1018,Acquisition,3,Sequence,326.3833333
1018,Acquisition,4,Sequence,311.1
1018,Acquisition,5,Sequence,310.05
1018,Acquisition,6,Sequence,313.7
1018,Acquisition,7,Sequence,310.7583333
1018,Acquisition,8,Sequence,338.6416667
1018,Acquisition,9,Sequence,356.425
1018,Acquisition,10,Sequence,363.35
1018,Acquisition,11,Sequence,404.2
1018,Acquisition,12,Sequence,373.3166667
1018,Acquisition,13,Sequence,373.1083333
1018,Acquisition,14,Sequence,422.1916667
1018,Retention,1,Sequence,361.3166667
1018,Retention,2,Sequence,278.425
1018,Retention,3,Sequence,266.8333333
1018,Retention,4,Sequence,223.7916667
1018,Retention,5,Sequence,225.7583333
1018,Retention,6,Sequence,215.625
1018,Retention,7,Sequence,354.6916667
1019,Acquisition,1,Sequence,344
1019,Acquisition,2,Sequence,373.2666667
1019,Acquisition,3,Sequence,319.7916667
1019,Acquisition,4,Sequence,328.5416667
1019,Acquisition,5,Sequence,301.9416667
1019,Acquisition,6,Sequence,280.1833333
1019,Acquisition,7,Sequence,222.825
1019,Acquisition,8,Sequence,357.7083333
1019,Acquisition,9,Sequence,228.5916667
1019,Acquisition,10,Sequence,205.1333333
1019,Acquisition,11,Sequence,155.55
1019,Acquisition,12,Sequence,132.3583333
1019,Acquisition,13,Sequence,189.8916667
1019,Acquisition,14,Sequence,355.925
1020,Acquisition,1,Sequence,392.95
1020,Acquisition,2,Sequence,355.975
1020,Acquisition,3,Sequence,322.15
1020,Acquisition,4,Sequence,312.9
1020,Acquisition,5,Sequence,297.9916667
1020,Acquisition,6,Sequence,287.4666667
1020,Acquisition,7,Sequence,290.4416667
1020,Acquisition,8,Sequence,355.825
1020,Acquisition,9,Sequence,302.325
1020,Acquisition,10,Sequence,278.5416667
1020,Acquisition,11,Sequence,218.45
1020,Acquisition,12,Sequence,128.8416667
1020,Acquisition,13,Sequence,116.9833333
1020,Acquisition,14,Sequence,318.75
1020,Retention,1,Sequence,343.75
1020,Retention,2,Sequence,139.25
1020,Retention,3,Sequence,111.7333333
1020,Retention,4,Sequence,113.275
1020,Retention,5,Sequence,94.14166667
1020,Retention,6,Sequence,85.64166667
1020,Retention,7,Sequence,326.6083333
2001,Acquisition,1,Random,408.775
2001,Acquisition,2,Random,378.6333333
2001,Acquisition,3,Random,400.5
2001,Acquisition,4,Random,390.9583333
2001,Acquisition,5,Random,392.7
2001,Acquisition,6,Random,378.1583333
2001,Acquisition,7,Random,412.8083333
2001,Acquisition,8,Random,389.625
2001,Acquisition,9,Random,376.575
2001,Acquisition,10,Random,354.55
2001,Acquisition,11,Random,337.05
2001,Acquisition,12,Random,383.0833333
2001,Acquisition,13,Random,379.7833333
2001,Acquisition,14,Random,374.4416667
2001,Retention,1,Random,338.75
2001,Retention,2,Random,356.6416667
2001,Retention,3,Random,367.1333333
2001,Retention,4,Random,385.1666667
2001,Retention,5,Random,314.2416667
2001,Retention,6,Random,291.2
2001,Retention,7,Random,291.1
2002,Acquisition,1,Random,371.475
2002,Acquisition,2,Random,327.1583333
2002,Acquisition,3,Random,332.0083333
2002,Acquisition,4,Random,330.1916667
2002,Acquisition,5,Random,342.05
2002,Acquisition,6,Random,350.1083333
2002,Acquisition,7,Random,296.1916667
2002,Acquisition,8,Random,358.9833333
2002,Acquisition,9,Random,325.875
2002,Acquisition,10,Random,324.8583333
2002,Acquisition,11,Random,339.8416667
2002,Acquisition,12,Random,304.4416667
2002,Acquisition,13,Random,331.875
2002,Acquisition,14,Random,328.6666667
2002,Retention,1,Random,299.975
2002,Retention,2,Random,316.55
2002,Retention,3,Random,313.475
2002,Retention,4,Random,301.4666667
2002,Retention,5,Random,295.3
2002,Retention,6,Random,304.0583333
2002,Retention,7,Random,340.3
2003,Acquisition,1,Random,459.7083333
2003,Acquisition,2,Random,441.2833333
2003,Acquisition,3,Random,414.9083333
2003,Acquisition,4,Random,434.875
2003,Acquisition,5,Random,445.4916667
2003,Acquisition,6,Random,448.9916667
2003,Acquisition,7,Random,515.6166667
2003,Acquisition,8,Random,500.2666667
2003,Acquisition,9,Random,496.1166667
2003,Acquisition,10,Random,483.6583333
2003,Acquisition,11,Random,404.225
2003,Acquisition,12,Random,474.3333333
2003,Acquisition,13,Random,522.0833333
2003,Acquisition,14,Random,501.275
2003,Retention,1,Random,387.75
2003,Retention,2,Random,392.1583333
2003,Retention,3,Random,383.8583333
2003,Retention,4,Random,370.4333333
2003,Retention,5,Random,397.7
2003,Retention,6,Random,435.1916667
2003,Retention,7,Random,393.275
2004,Acquisition,1,Random,376.95
2004,Acquisition,2,Random,374.6916667
2004,Acquisition,3,Random,352.1166667
2004,Acquisition,4,Random,356.9666667
2004,Acquisition,5,Random,342.0333333
2004,Acquisition,6,Random,346.9416667
2004,Acquisition,7,Random,372.475
2004,Acquisition,8,Random,396.8583333
2004,Acquisition,9,Random,377.7083333
2004,Acquisition,10,Random,400.85
2004,Acquisition,11,Random,351.3083333
2004,Acquisition,12,Random,371.8583333
2004,Acquisition,13,Random,354.3333333
2004,Acquisition,14,Random,407.2916667
2004,Retention,1,Random,335.7333333
2004,Retention,2,Random,332.1666667
2004,Retention,3,Random,328.875
2004,Retention,4,Random,339.1416667
2004,Retention,5,Random,344.2333333
2004,Retention,6,Random,354.8166667
2004,Retention,7,Random,398.5916667
2005,Acquisition,1,Random,367.3416667
2005,Acquisition,2,Random,347.0166667
2005,Acquisition,3,Random,329.0166667
2005,Acquisition,4,Random,333.0833333
2005,Acquisition,5,Random,337.8583333
2005,Acquisition,6,Random,319.475
2005,Acquisition,7,Random,284.4833333
2005,Acquisition,8,Random,315.7083333
2005,Acquisition,9,Random,312.7083333
2005,Acquisition,10,Random,325.4416667
2005,Acquisition,11,Random,303.3416667
2005,Acquisition,12,Random,310.3666667
2005,Acquisition,13,Random,298.8666667
2005,Acquisition,14,Random,326.9583333
2005,Retention,1,Random,358.9416667
2005,Retention,2,Random,317.5083333
2005,Retention,3,Random,281.2083333
2005,Retention,4,Random,296.925
2005,Retention,5,Random,308.3083333
2005,Retention,6,Random,305.9166667
2005,Retention,7,Random,313.8916667
2006,Acquisition,1,Random,310.5166667
2006,Acquisition,2,Random,301.5333333
2006,Acquisition,3,Random,313.3083333
2006,Acquisition,4,Random,315.325
2006,Acquisition,5,Random,329.3583333
2006,Acquisition,6,Random,337.65
2006,Acquisition,7,Random,327.9833333
2006,Acquisition,8,Random,313.7583333
2006,Acquisition,9,Random,322.95
2006,Acquisition,10,Random,305.9
2006,Acquisition,11,Random,329.9583333
2006,Acquisition,12,Random,314.4333333
2006,Acquisition,13,Random,308.725
2006,Acquisition,14,Random,313.9333333
2006,Retention,1,Random,317.1583333
2006,Retention,2,Random,300.1666667
2006,Retention,3,Random,297.1916667
2006,Retention,4,Random,297.8666667
2006,Retention,5,Random,300.2333333
2006,Retention,6,Random,314.8583333
2006,Retention,7,Random,304.85
2007,Acquisition,1,Random,345.6416667
2007,Acquisition,2,Random,317.1166667
2007,Acquisition,3,Random,327.875
2007,Acquisition,4,Random,335.2583333
2007,Acquisition,5,Random,322.8416667
2007,Acquisition,6,Random,332.1333333
2007,Acquisition,7,Random,374.6166667
2007,Acquisition,8,Random,353.2583333
2007,Acquisition,9,Random,340.0083333
2007,Acquisition,10,Random,336.3166667
2007,Acquisition,11,Random,343.75
2007,Acquisition,12,Random,349.6416667
2007,Acquisition,13,Random,330.0916667
2007,Acquisition,14,Random,330.7
2007,Retention,1,Random,366.0416667
2007,Retention,2,Random,339.6416667
2007,Retention,3,Random,336.45
2007,Retention,4,Random,429.075
2007,Retention,5,Random,335.8916667
2007,Retention,6,Random,344.7083333
2007,Retention,7,Random,340.35
2008,Acquisition,1,Random,331.5333333
2008,Acquisition,2,Random,307.725
2008,Acquisition,3,Random,295.1416667
2008,Acquisition,4,Random,299.6916667
2008,Acquisition,5,Random,318
2008,Acquisition,6,Random,303.1583333
2008,Acquisition,7,Random,306.9583333
2008,Acquisition,8,Random,297.45
2008,Acquisition,9,Random,293.4083333
2008,Acquisition,10,Random,314.8166667
2008,Acquisition,11,Random,269.7916667
2008,Acquisition,12,Random,288.4333333
2008,Acquisition,13,Random,280.3583333
2008,Acquisition,14,Random,277.975
2008,Retention,1,Random,256.15
2008,Retention,2,Random,282.1583333
2008,Retention,3,Random,263.4
2008,Retention,4,Random,250.5833333
2008,Retention,5,Random,287.275
2008,Retention,6,Random,266.2166667
2008,Retention,7,Random,377.4745763
2009,Acquisition,1,Random,338.0083333
2009,Acquisition,2,Random,304.225
2009,Acquisition,3,Random,319.2833333
2009,Acquisition,4,Random,332.6083333
2009,Acquisition,5,Random,336.2583333
2009,Acquisition,6,Random,320.85
2009,Acquisition,7,Random,307.9916667
2009,Acquisition,8,Random,333.1583333
2009,Acquisition,9,Random,341.7
2009,Acquisition,10,Random,338.5416667
2009,Acquisition,11,Random,320.7333333
2009,Acquisition,12,Random,312.925
2009,Acquisition,13,Random,343.875
2009,Acquisition,14,Random,340.775
2009,Retention,1,Random,327.8916667
2009,Retention,2,Random,316.05
2009,Retention,3,Random,316.3583333
2009,Retention,4,Random,318.5
2009,Retention,5,Random,317.8
2009,Retention,6,Random,318.7083333
2009,Retention,7,Random,326.7
2010,Acquisition,1,Random,324.6666667
2010,Acquisition,2,Random,313.0416667
2010,Acquisition,3,Random,315.725
2010,Acquisition,4,Random,322.2416667
2010,Acquisition,5,Random,310.125
2010,Acquisition,6,Random,308.225
2010,Acquisition,7,Random,312.9583333
2010,Acquisition,8,Random,303.9083333
2010,Acquisition,9,Random,298.0416667
2010,Acquisition,10,Random,296.1416667
2010,Acquisition,11,Random,322.6916667
2010,Acquisition,12,Random,317.05
2010,Acquisition,13,Random,312.5666667
2010,Acquisition,14,Random,308.6083333
2011,Acquisition,1,Random,288.2583333
2011,Acquisition,2,Random,297.9416667
2011,Acquisition,3,Random,308.95
2011,Acquisition,4,Random,314.625
2011,Acquisition,5,Random,294.9833333
2011,Acquisition,6,Random,314.6916667
2011,Acquisition,7,Random,324.1833333
2011,Acquisition,8,Random,342.9
2011,Acquisition,9,Random,309.2
2011,Acquisition,10,Random,301.7916667
2011,Acquisition,11,Random,304.1083333
2011,Acquisition,12,Random,298.35
2011,Acquisition,13,Random,301.475
2011,Acquisition,14,Random,299.225
2011,Retention,1,Random,288.9083333
2011,Retention,2,Random,270.3666667
2011,Retention,3,Random,272.6583333
2011,Retention,4,Random,285.2666667
2011,Retention,5,Random,279.4166667
2011,Retention,6,Random,262.6916667
2011,Retention,7,Random,303.4083333
2012,Acquisition,1,Random,385
2012,Acquisition,2,Random,373.275
2012,Acquisition,3,Random,333.2833333
2012,Acquisition,4,Random,377.45
2012,Acquisition,5,Random,372.9
2012,Acquisition,6,Random,361.6416667
2012,Acquisition,7,Random,360.6916667
2012,Acquisition,8,Random,333.8666667
2012,Acquisition,9,Random,372.1166667
2012,Acquisition,10,Random,379.8166667
2012,Acquisition,11,Random,386.3083333
2012,Acquisition,12,Random,331.9083333
2012,Acquisition,13,Random,328.4
2012,Acquisition,14,Random,354.3333333
2012,Retention,1,Random,343.0166667
2012,Retention,2,Random,361.5
2012,Retention,3,Random,344.325
2012,Retention,4,Random,362.0333333
2012,Retention,5,Random,372.8166667
2012,Retention,6,Random,353.6833333
2012,Retention,7,Random,340.1166667
2013,Acquisition,1,Random,303.5166667
2013,Acquisition,2,Random,301.85
2013,Acquisition,3,Random,296.3916667
2013,Acquisition,4,Random,320.4333333
2013,Acquisition,5,Random,285.0583333
2013,Acquisition,6,Random,289.4416667
2013,Acquisition,7,Random,305.625
2013,Acquisition,8,Random,326.0416667
2013,Acquisition,9,Random,306.9666667
2013,Acquisition,10,Random,294.1416667
2013,Acquisition,11,Random,302.0916667
2013,Acquisition,12,Random,269.5333333
2013,Acquisition,13,Random,315.0416667
2013,Acquisition,14,Random,296.1
2013,Retention,1,Random,281.8416667
2013,Retention,2,Random,289.2833333
2013,Retention,3,Random,286.5916667
2013,Retention,4,Random,310.5583333
2013,Retention,5,Random,277.3583333
2013,Retention,6,Random,301.525
2013,Retention,7,Random,287.1333333
2014,Acquisition,1,Random,422.5916667
2014,Acquisition,2,Random,401.8166667
2014,Acquisition,3,Random,388.8583333
2014,Acquisition,4,Random,399.8083333
2014,Acquisition,5,Random,360.675
2014,Acquisition,6,Random,379.025
2014,Acquisition,7,Random,387.2083333
2014,Acquisition,8,Random,391.05
2014,Acquisition,9,Random,366.975
2014,Acquisition,10,Random,360.075
2014,Acquisition,11,Random,346.0666667
2014,Acquisition,12,Random,342.7166667
2014,Acquisition,13,Random,372.2583333
2014,Acquisition,14,Random,335.4916667
2014,Retention,1,Random,339.775
2014,Retention,2,Random,347.6416667
2014,Retention,3,Random,374.5666667
2014,Retention,4,Random,352.5166667
2014,Retention,5,Random,345.5333333
2014,Retention,6,Random,344.6333333
2014,Retention,7,Random,341.1166667
2015,Acquisition,1,Random,273.6666667
2015,Acquisition,2,Random,271.725
2015,Acquisition,3,Random,278.8
2015,Acquisition,4,Random,261.9416667
2015,Acquisition,5,Random,266.1083333
2015,Acquisition,6,Random,246.2
2015,Acquisition,7,Random,284.3166667
2015,Acquisition,8,Random,307.0416667
2015,Acquisition,9,Random,310.15
